date,fish_type,origin,gender,weight,size,catch_release,position_number,fly_or_spinner,bait,bait_size,extra_1,extra_2,position_name,position
2010-09-19,Lax,,Hrygna,6.3,85.0,X,65,Fluga,Þýsk snælda,"1 1/2""",,,Mógilsbreiða,Svæði 4
2010-09-16,Lax,,Hrygna,5.0,78.0,X,65,Fluga,Frances,"1""",,,Mógilsbreiða,Svæði 4
2010-09-15,Lax,,Hængur,2.1,58.0,,65,Fluga,Frances,"1""",,,Mógilsbreiða,Svæði 4
2010-09-12,Lax,,Hrygna,6.1,84.0,X,65,Fluga,Rauð frances,"1/2""",,,Mógilsbreiða,Svæði 4
2010-09-11,Lax,,Hængur,1.8,54.0,,65,Fluga,Frances blá,"1/2""",,,Mógilsbreiða,Svæði 4
2010-09-02,Lax,,Hrygna,6.5,86.0,,65,Fluga,Svört snælda,"1,5""",Klak,,Mógilsbreiða,Svæði 4
2010-08-15,Lax,,Hrygna,6.3,85.0,,65,Fluga,Rauð frances,"1/2""",Klak,,Mógilsbreiða,Svæði 4
2010-08-09,Lax,,Hængur,2.5,62.0,,65,Spónn,Svartur toby,,,,Mógilsbreiða,Svæði 4
2010-08-03,Lax,,Hrygna,4.0,72.0,,65,Fluga,Frances,,,,Mógilsbreiða,Svæði 4
2010-08-01,Lax,,Hængur,2.0,56.0,,65,Fluga,Rauð frances,,,,Mógilsbreiða,Svæði 4
2011-09-25,Lax,,Hængur,6.5,86.0,,65,Spónn,Toby,,Klak,,Mógilsbreiða,Svæði 4
2011-08-27,Lax,,Hrygna,4.3,74.0,,65,Fluga,Sunray shadow,,Klak,,Mógilsbreiða,Svæði 4
2011-08-21,Lax,,Hrygna,5.3,81.0,X,65,Fluga,Rauð frances,"1/2""",,,Mógilsbreiða,Svæði 4
2011-08-16,Lax,,Hrygna,5.7,82.0,,65,Fluga,Sunray shadow,,,,Mógilsbreiða,Svæði 4
2011-08-16,Lax,,Hængur,2.0,60.0,,65,Fluga,Rauð Frances keila,10,,,Mógilsbreiða,Svæði 4
2011-08-15,Lax,,Hængur,5.9,85.0,,65,Fluga,Sunray,,,,Mógilsbreiða,Svæði 4
2012-08-07,Lax,,Hængur,3.5,69.0,,65,Spónn,Toby,,,,Mógilsbreiða,Svæði 4
2012-08-06,Lax,,Hængur,3.5,69.0,X,65,Fluga,Frances rauð,,,,Mógilsbreiða,Svæði 4
2012-08-05,Lax,,Óþekkt,4.0,71.0,,65,Fluga,Frances,,,,Mógilsbreiða,Svæði 4
2012-07-31,Lax,,Hrygna,5.2,80.0,,65,Fluga,,,,,Mógilsbreiða,Svæði 4
2012-07-22,Lax,,Hængur,2.5,60.0,,65,Fluga,Frances,,,,Mógilsbreiða,Svæði 4
2012-07-05,Lax,,Hængur,7.2,89.0,,65,Fluga,Svört frances,"1/2""",,,Mógilsbreiða,Svæði 4
2013-09-11,Lax,,Hængur,2.5,64.0,,65,Fluga,Frances keila,"1/4""",,,Mógilsbreiða,Svæði 4
